SMILES,TARGET,PROTEIN,NAME
Cc1cc(COC(=O)CCN2CCCCC2)cc(OCC(=O)O)c1,-15.93,6dxl,4b6_2a21
Cc1cc(COC(=O)CCN2CCC(O)C2)cc(OCC(=O)O)c1,-14.57,6dxl,4b6_2a20
Cc1cc(COC(=O)CCN2CCC(C)C2)cc(OCC(=O)O)c1,-15.81,6dxl,4b6_2a17
Cc1cc(COC(=O)CCn2ccnc2)cc(OCC(=O)O)c1,-15.36,6dxl,4b6_2a19
Cc1cc(COC(=O)CCN2CCCCCCC2)cc(OCC(=O)O)c1,-16.08,6dxl,4b6_2a30
Cc1cc(COC(=O)CCN2CC(C)CC(C)C2)cc(OCC(=O)O)c1,-14.68,6dxl,4b6_2a23
Cc1cc(COC(=O)CCN(C(C)C)C(C)C)cc(OCC(=O)O)c1,-14.56,6dxl,4b6_2a5
CCN(CC)CCC(=O)OCc1cc(C)cc(OCC(=O)O)c1,-13.02,6dxl,4b6_2a2
Cc1cc(COC(=O)CCN2CCOCC2)cc(OCC(=O)O)c1,-15.1,6dxl,4b6_2a24
Cc1cc(COC(=O)CCN(CCO)CCO)cc(OCC(=O)O)c1,-13.3,6dxl,4b6_2a8
Cc1cc(COC(=O)CCN2CCCC(O)C2)cc(OCC(=O)O)c1,-16.08,6dxl,4b6_2a25
CCCN(CC)CCC(=O)OCc1cc(C)cc(OCC(=O)O)c1,-12.96,6dxl,4b6_2a11
Cc1cc(COC(=O)CCN(C)CCO)cc(OCC(=O)O)c1,-13.96,6dxl,4b6_2a13
Cc1cc(COC(=O)CCN(CC(C)C)CC(C)C)cc(OCC(=O)O)c1,-13.88,6dxl,4b6_2a6
Cc1cc(COC(=O)CCN(C)C)cc(OCC(=O)O)c1,-14.63,6dxl,4b6_2a1
CCN(C)CCC(=O)OCc1cc(C)cc(OCC(=O)O)c1,-14.1,6dxl,4b6_2a9
Cc1cc(COC(=O)CCN2CCC2)cc(OCC(=O)O)c1,-14.75,6dxl,4b6_2a14
Cc1cc(COC(=O)CCN2CCN(C)CC2)cc(OCC(=O)O)c1,-16.44,6dxl,4b6_2a27
CCCN(CCC)CCC(=O)OCc1cc(C)cc(OCC(=O)O)c1,-13.28,6dxl,4b6_2a3
Cc1cc(COC(=O)CCN(C)C2CCCC2)cc(OCC(=O)O)c1,-14.8,6dxl,4b6_2a12
Cc1cc(COC(=O)CCN2CCC(C)CC2)cc(OCC(=O)O)c1,-16.03,6dxl,4b6_2a22
Cc1cc(COC(=O)CCN(C)CC(C)C)cc(OCC(=O)O)c1,-13.64,6dxl,4b6_2a10
Cc1cc(COC(=O)CCN2CCCC2)cc(OCC(=O)O)c1,-15.24,6dxl,4b6_2a16
C=CCN(CC=C)CCC(=O)OCc1cc(C)cc(OCC(=O)O)c1,-13.92,6dxl,4b6_2a4
Cc1cc(COC(=O)CCN2CC(C)C2)cc(OCC(=O)O)c1,-14.05,6dxl,4b6_2a15
Cc1cc(COC(=O)CCN2CCCCCC2)cc(OCC(=O)O)c1,-15.16,6dxl,4b6_2a29
O=C(CCN1CCCCC1)OCc1ccc(C(=O)O)cc1,-13.57,6dxl,2b1_2a21
O=C(CCn1ccnc1)OCc1ccc(C(=O)O)cc1,-11.96,6dxl,2b1_2a19
O=C(CCN1CCCCCCC1)OCc1ccc(C(=O)O)cc1,-13.72,6dxl,2b1_2a30
CCN(CC)CCC(=O)OCc1ccc(C(=O)O)cc1,-12.1,6dxl,2b1_2a2
CC(C)CN(C)CCC(=O)OCc1ccc(C(=O)O)cc1,-13.29,6dxl,2b1_2a10
CCCN(CC)CCC(=O)OCc1ccc(C(=O)O)cc1,-12.44,6dxl,2b1_2a11
