	smiles	name	stand_name	label
0	CCCN(C)CC(=O)O		A0	L0
1	CCN(C)CC(=O)O		A1	L0
2	COCCN(CCOC)CC(=O)O		A2	L0
3	CC(C)N(CC(=O)O)C(C)C		A3	L0
4	CC(C)CN(CC(=O)O)CC(C)C		A4	L0
5	C=C(C)CN(CC(=C)C)CC(=O)O		A5	L0
6	C=CCN(CC=C)CC(=O)O		A6	L0
7	C#CCN(CC#C)CC(=O)O		A7	L0
8	O=C(O)CN(CCO)CCO		A8	L0
9	CC(O)CN(CC(=O)O)CC(C)O		A9	L0
10	O=C(O)CN(CCCO)CCCO		A10	L0
11	O=C(O)CN(CCCCO)CCCCO		A11	L0
12	C=CCN(C)CC(=O)O		A12	L0
13	CC(C)N(C)CC(=O)O		A13	L0
14	CCCCN(C)CC(=O)O		A14	L0
15	CC(C)CN(C)CC(=O)O		A15	L0
16	C#CCN(C)CC(=O)O		A16	L0
17	CN(CC#N)CC(=O)O		A17	L0
18	CN(CCO)CC(=O)O		A18	L0
19	CN(CCCO)CC(=O)O		A19	L0
20	CN(CCCCO)CC(=O)O		A20	L0
21	COCCN(C)CC(=O)O		A21	L0
22	CN(C)CC(=O)O		A22	L0
23	CCN(CC)CC(=O)O		A23	L0
24	CCCN(CCC)CC(=O)O		A24	L0
25	CCCCN(CCCC)CC(=O)O		A25	L0
26	CN(CC(=O)O)C1CCCC1		A26	L0
27	CN(CC(=O)O)C1CCCCC1		A27	L0
28	CCN(CC(=O)O)C(C)C		A28	L0
29	CCCN(CC)CC(=O)O		A29	L0
30	CCCCN(CC)CC(=O)O		A30	L0
31	CCN(CC(=O)O)CC(C)C		A31	L0
32	C=C(C)CN(CC)CC(=O)O		A32	L0
33	CCN(CCO)CC(=O)O		A33	L0
34	CCN(CCCO)CC(=O)O		A34	L0
35	CCN(CCCCO)CC(=O)O		A35	L0
36	CC(O)CN(C)CC(=O)O		A36	L0
37	CCN(CC(=O)O)C1CCCCC1		A37	L0
38	CCN(CCOC)CC(=O)O		A38	L0
39	CCCCN(CCC)CC(=O)O		A39	L0
40	CC(C)N(CCO)CC(=O)O		A40	L0
41	CCCCCN(CCCCC)CC(=O)O		A41	L0
42	CC(C)N(CC(=O)O)C1CCCCC1		A42	L0
43	O=C(O)CN1CCC1		A43	L0_C0_0
44	CC1CCN1CC(=O)O		A44	L0_C0_1
45	CC1CN(CC(=O)O)C1		A45	L0_C0_1
46	O=C(O)CN1CCC1O		A46	L0_C0_1
47	O=C(O)CN1CC(O)C1		A47	L0_C0_1
48	COC1CCN1CC(=O)O		A48	L0_C0_1
49	COC1CN(CC(=O)O)C1		A49	L0_C0_1
50	O=C(O)CN1CCC1CO		A50	L0_C0_1
51	O=C(O)CN1CC(CO)C1		A51	L0_C0_1
52	O=C(O)CN1CCC1CCO		A52	L0_C0_1
53	O=C(O)CN1CC(CCO)C1		A53	L0_C0_1
54	N#CC1CCN1CC(=O)O		A54	L0_C0_1
55	N#CC1CN(CC(=O)O)C1		A55	L0_C0_1
56	CC1CN(CC(=O)O)C1C		A56	L0_C0_2
57	CC1CC(C)N1CC(=O)O		A57	L0_C0_2
58	O=C(O)CN1CCCC1		A58	L0_C1_0
59	CC1CCCN1CC(=O)O		A59	L0_C1_1
60	CC1CCN(CC(=O)O)C1		A60	L0_C1_1
61	O=C(O)CN1CCCC1O		A61	L0_C1_1
62	O=C(O)CN1CCC(O)C1		A62	L0_C1_1
63	COC1CCCN1CC(=O)O		A63	L0_C1_1
64	COC1CCN(CC(=O)O)C1		A64	L0_C1_1
65	O=C(O)CN1CCCC1CO		A65	L0_C1_1
66	O=C(O)CN1CCC(CO)C1		A66	L0_C1_1
67	O=C(O)CN1CCCC1CCO		A67	L0_C1_1
68	O=C(O)CN1CCC(CCO)C1		A68	L0_C1_1
69	N#CC1CCCN1CC(=O)O		A69	L0_C1_1
70	N#CC1CCN(CC(=O)O)C1		A70	L0_C1_1
71	CC1CCN(CC(=O)O)C1C		A71	L0_C1_2
72	CC1CC(C)N(CC(=O)O)C1		A72	L0_C1_2
