	smiles	name	stand_name
0	OC(COC1=C(CO)C=CC=C1)=O		B0
1	OC(COC1=CC(CO)=CC=C1)=O	4b2	B1
2	OC(COC1=CC=C(CO)C=C1)=O	4b1	B2
3	OC(CC1=C(CO)C=CC=C1)=O		B3
4	OC(CC1=CC(CO)=CC=C1)=O	3b2	B4
5	OC(CC1=CC=C(CO)C=C1)=O	3b1	B5
6	OC(C1=C(CO)C=CC=C1)=O		B6
7	OC(C1=CC(CO)=CC=C1)=O	2b2	B7
8	OC(C1=CC=C(CO)C=C1)=O	2b1	B8
9	O=C(O)C1=C(CO)N=CC=C1		B9
10	O=C(O)C1=CN=C(CO)C=C1	1b1	B10
11	O=C(O)C1=CN=CC(CO)=C1		B11
12	O=C(O)C1=CN=CC=C1(CO)		B12
13	O=C(O)C1=C(CO)C=CC=N1		B13
14	O=C(O)C1=CC(CO)=CC=N1		B14
15	O=C(O)C1=CC=C(CO)C=N1		B15
16	O=C(O)C1=CC=CC(CO)=N1	1b2	B16
17	O=C(O)CC1=C(CO)C=CC=N1		B17
18	O=C(O)CC1=CC(CO)=CC=N1		B18
19	O=C(O)CC1=CC=C(CO)C=N1		B19
20	O=C(O)CC1=CC=CC(CO)=N1	1b4	B20
21	O=C(O)COC1=C(CO)C=CC=N1		B21
22	O=C(O)COC1=CC(CO)=CC=N1		B22
23	O=C(O)COC1=CC=C(CO)C=N1		B23
24	O=C(O)COC1=CC=CC(CO)=N1	1b6	B24
25	O=C(O)CCN1C(CO)=CN=C1	1b12	B25
26	O=C(O)CCN1C=C(CO)N=C1	1b11	B26
27	O=C(O)CCN1C=CN=C1(CO)		B27
28	CN1C(CO)=CC(C(O)=O)=C1	1b8	B28
29	CN1C=C(CO)C(C(O)=O)=C1		B29
30	CN1C=CC(C(O)=O)=C1(CO)		B30
31	CN1C(CO)=NC(C(O)=O)=C1	1b10	B31
32	CN1C=NC(C(O)=O)=C1(CO)		B32
33	OC(COC1=C(CO)C(CO)=CC=C1)=O		B33
34	OC(COC1=C(CO)C=C(CO)C=C1)=O	4b11	B34
35	OC(COC1=C(CO)C=CC(CO)=C1)=O	4b13	B35
36	OC(COC1=C(CO)C=CC=C1CO)=O		B36
37	OC(COC1=CC(CO)=C(CO)C=C1)=O		B37
38	OC(COC1=CC(CO)=CC(CO)=C1)=O	4b12	B38
39	OC(COC1=C(CO)C(C)=CC=C1)=O		B39
40	OC(COC1=C(CO)C=C(C)C=C1)=O		B40
41	OC(COC1=C(CO)C=CC(C)=C1)=O		B41
42	OC(COC1=C(CO)C=CC=C1C)=O		B42
43	OC(COC1=C(C)C(CO)=CC=C1)=O		B43
44	OC(COC1=CC(CO)=C(C)C=C1)=O		B44
45	OC(COC1=CC(CO)=CC(C)=C1)=O	4b6	B45
46	OC(COC1=CC(CO)=CC=C1C)=O		B46
47	OC(COC1=C(C)C=C(CO)C=C1)=O	4b5	B47
48	OC(COC1=CC(C)=C(CO)C=C1)=O		B48
49	OC(COC1=C(CO)C(OC)=CC=C1)=O		B49
50	OC(COC1=C(CO)C=C(OC)C=C1)=O		B50
51	OC(COC1=C(CO)C=CC(OC)=C1)=O		B51
52	OC(COC1=C(CO)C=CC=C1OC)=O		B52
53	OC(COC1=C(OC)C(CO)=CC=C1)=O		B53
54	OC(COC1=CC(CO)=C(OC)C=C1)=O		B54
55	OC(COC1=CC(CO)=CC(OC)=C1)=O	4b10	B55
56	OC(COC1=CC(CO)=CC=C1OC)=O		B56
